measures,8,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
38,62,66,69,100,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,62,66,69,0,95,100,
0,0,0,0,0,0,100,
33,0,0,0,90,0,100,
35,62,66,69,95,0,100,
0,0,0,0,0,0,100,
38,0,0,0,65,0,100,
0,62,66,69,0,95,100,
0,0,0,0,0,0,100,
38,0,0,0,90,0,100,
0,62,66,69,0,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,62,66,69,0,95,100,
0,0,0,0,0,0,100,
42,0,0,0,65,0,100,
40,62,66,69,90,0,100,
0,0,0,0,0,0,100,
38,0,0,0,65,0,100,
35,62,66,69,95,95,100,
0,0,0,0,0,0,100,
33,0,0,0,65,0,100,
40,64,67,71,95,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,64,67,71,0,95,100,
0,0,0,0,0,0,100,
35,0,0,0,85,0,100,
0,64,67,71,0,0,100,
0,0,0,0,0,0,100,
40,0,0,0,80,0,100,
0,64,67,71,0,95,100,
0,0,0,0,0,0,100,
35,0,0,0,65,0,100,
33,61,64,67,93,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,61,64,67,0,95,100,
0,0,0,0,0,0,100,
33,0,0,0,83,0,100,
33,61,64,67,93,0,100,
0,0,0,0,0,0,100,
35,0,0,0,65,0,100,
38,61,64,67,88,95,100,
0,0,0,0,0,0,100,
35,0,0,0,85,0,100,
38,62,66,69,100,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,62,66,69,0,95,100,
0,0,0,0,0,0,100,
33,0,0,0,90,0,100,
35,62,66,69,95,0,100,
0,0,0,0,0,0,100,
38,0,0,0,65,0,100,
0,62,66,69,0,95,100,
0,0,0,0,0,0,100,
38,0,0,0,90,0,100,
0,62,66,69,0,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,62,66,69,0,95,100,
0,0,0,0,0,0,100,
42,0,0,0,65,0,100,
40,62,66,69,90,0,100,
0,0,0,0,0,0,100,
38,0,0,0,65,0,100,
35,62,66,69,95,95,100,
0,0,0,0,0,0,100,
33,0,0,0,65,0,100,
43,64,67,71,95,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,64,67,71,0,95,100,
0,0,0,0,0,0,100,
38,0,0,0,85,0,100,
0,64,67,71,0,0,100,
0,0,0,0,0,0,100,
40,0,0,0,80,0,100,
43,64,67,71,0,95,100,
0,0,0,0,0,0,100,
40,0,0,0,65,0,100,
45,61,64,67,93,0,100,
0,0,0,0,0,0,100,
0,0,0,0,0,0,100,
0,61,64,67,0,95,100,
0,0,0,0,0,0,100,
45,0,0,0,83,0,100,
0,61,64,67,93,0,100,
0,0,0,0,0,0,100,
47,0,0,0,65,0,100,
50,61,64,67,88,95,100,
0,0,0,0,0,0,100,
47,0,0,0,85,0,100,
