measures,4,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
41,65,69,65,99,0,99,
0,69,76,60,0,0,0,
0,65,77,65,0,0,99,
45,65,69,65,85,99,99,
0,69,76,60,0,0,0,
0,65,77,65,0,0,0,
48,65,69,65,88,0,99,
0,69,76,60,0,0,0,
0,65,77,65,0,0,99,
50,65,69,65,50,95,99,
0,69,76,60,0,0,0,
48,65,77,65,88,90,0,
41,65,69,65,91,0,99,
0,69,76,60,0,0,0,
0,65,77,65,0,0,99,
45,65,69,65,85,99,99,
0,69,76,60,0,0,0,
0,65,77,65,0,0,0,
48,65,69,65,88,0,99,
0,69,76,60,0,0,0,
0,65,77,65,0,0,99,
50,65,69,65,50,95,99,
0,69,76,60,0,0,0,
48,65,77,65,88,90,0,
45,69,69,69,95,0,99,
0,73,73,64,0,0,0,
0,79,79,69,0,0,99,
49,69,69,69,89,99,99,
0,73,73,64,0,0,0,
0,79,79,69,0,0,0,
52,69,69,69,82,0,99,
0,73,73,64,0,0,0,
0,79,79,69,0,0,99,
54,69,69,69,94,95,99,
0,73,73,64,0,0,0,
0,79,79,69,0,90,0,
45,69,69,69,95,0,99,
0,73,73,64,0,0,0,
0,79,79,69,0,0,99,
47,69,69,69,87,99,99,
0,73,73,64,0,0,0,
0,79,79,69,0,0,0,
49,69,69,69,79,0,99,
0,73,73,64,0,0,0,
45,79,79,69,85,0,99,
47,69,69,69,87,95,99,
0,73,73,64,0,0,0,
49,79,79,69,79,90,0,
