measures,8,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
36,60,64,64,99,0,95,
0,65,0,0,0,0,0,
0,67,0,0,0,0,50,
0,60,64,64,0,0,95,
0,64,0,0,0,0,0,
0,67,0,0,90,0,25,
0,60,64,64,99,99,95,
0,64,0,0,0,99,0,
0,67,0,0,0,0,25,
0,60,64,64,0,0,95,
0,64,0,0,0,0,0,
43,67,0,0,90,0,25,
45,60,64,64,99,0,95,
0,65,0,0,0,0,0,
48,67,0,0,0,0,50,
0,60,64,64,0,0,95,
0,64,0,0,0,0,0,
48,67,0,0,90,0,25,
0,60,64,64,99,99,95,
0,64,0,0,0,99,0,
43,67,0,0,0,0,25,
45,60,64,64,0,0,95,
0,64,0,0,0,0,0,
48,67,0,0,90,0,25,
37,61,61,61,100,0,95,
0,64,0,0,0,0,0,
0,67,0,0,0,0,50,
0,64,67,64,0,0,95,
0,67,0,0,0,0,0,
40,64,0,0,88,0,25,
0,61,70,70,0,99,95,
0,64,0,0,0,99,0,
0,67,0,0,93,0,25,
0,64,67,67,0,0,95,
0,61,0,0,0,0,0,
43,64,0,0,88,0,25,
0,61,64,64,91,0,95,
0,64,0,0,0,0,0,
0,67,0,0,0,90,50,
0,64,61,61,0,90,95,
0,67,0,0,0,90,0,
46,64,0,0,86,90,25,
0,61,64,64,0,90,95,
0,64,0,0,0,0,0,
45,67,0,0,91,0,25,
0,64,67,67,0,0,95,
0,61,0,0,0,0,0,
45,64,0,0,86,0,25,
38,62,62,62,99,0,95,
0,65,0,0,0,0,0,
0,69,0,0,0,0,50,
0,74,65,65,0,0,95,
0,69,0,0,0,0,0,
0,74,0,0,90,0,25,
0,69,62,62,99,99,95,
0,65,0,0,0,99,0,
33,62,0,0,0,0,25,
0,65,69,69,0,0,95,
0,69,0,0,0,0,0,
38,74,0,0,90,0,25,
0,62,65,65,99,0,95,
0,65,0,0,0,0,0,
0,69,0,0,0,0,50,
0,74,69,69,0,0,95,
0,69,0,0,0,0,0,
45,74,0,0,90,0,25,
0,69,74,74,99,99,95,
0,65,0,0,0,99,0,
44,62,0,0,0,0,25,
0,65,65,65,0,0,95,
0,69,0,0,0,0,0,
38,74,0,0,90,0,25,
43,55,67,67,99,0,95,
0,59,0,0,0,0,0,
0,62,0,0,0,0,50,
0,65,71,71,0,0,95,
0,67,0,0,0,0,0,
0,65,0,0,90,0,25,
0,67,74,74,99,99,95,
0,71,0,0,0,99,0,
0,74,0,0,0,0,25,
0,71,77,77,0,0,95,
0,67,0,0,0,0,0,
33,65,0,0,90,0,25,
31,55,74,74,99,0,95,
0,59,0,0,0,0,0,
35,62,0,0,0,0,50,
38,65,71,71,0,0,95,
0,67,0,0,0,0,0,
41,65,0,0,90,0,25,
0,67,67,67,99,99,95,
0,71,0,0,0,99,0,
40,74,0,0,0,0,25,
0,71,71,71,0,0,95,
0,67,0,0,0,0,0,
38,65,0,0,90,0,25,
