measures,4,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
41,65,69,79,99,11,99,
0,69,65,67,0,22,11,
0,72,69,55,0,33,77,
45,76,72,79,0,44,88,
0,77,76,67,0,55,11,
0,76,77,55,77,66,88,
48,72,76,79,90,77,99,
0,69,72,67,0,88,11,
50,65,69,55,77,99,77,
48,64,65,79,0,99,99,
0,65,64,67,33,99,11,
0,77,65,55,77,99,77,
41,65,77,79,99,11,99,
0,69,65,67,0,22,11,
0,72,69,55,0,33,77,
45,76,72,79,0,44,88,
0,77,76,67,0,55,11,
0,76,77,55,77,66,88,
48,72,76,79,90,77,99,
0,69,72,67,0,88,11,
50,65,69,55,77,99,77,
48,64,65,79,0,99,99,
0,65,64,67,33,99,11,
0,77,65,55,77,99,77,
45,69,69,80,99,11,99,
0,73,73,68,0,22,11,
0,76,76,56,0,33,77,
49,79,79,80,0,44,88,
0,81,81,68,0,55,11,
0,79,79,56,77,66,88,
52,76,76,80,90,77,99,
0,73,73,68,0,88,11,
54,69,69,56,77,99,77,
52,67,67,80,0,99,99,
0,69,69,68,33,99,11,
0,81,81,56,77,99,77,
45,69,69,80,99,11,99,
0,73,73,68,0,22,0,
0,76,76,56,0,33,0,
49,79,79,80,0,44,0,
0,81,81,68,0,55,0,
0,79,79,56,77,66,77,
52,76,76,80,90,77,90,
0,73,73,68,0,88,0,
54,69,69,56,77,99,77,
52,67,67,80,0,99,0,
52,69,69,68,33,99,33,
51,81,81,56,77,99,77,
